,bhattacherjee_Astro,bhattacherjee_Endo,bhattacherjee_Excitatory,mcfarland_1,mcfarland_2,mcfarland_3,mcfarland_4,mcfarland_5,norman,schiebinger
augur,0.97,0.96,0.96,0.96,0.98,0.96,0.97,0.94,0.97,0.99
balanced_edistance,0.36,0.51,0.9,0.5,0.85,0.89,0.65,0.42,0.78,0.96
deseq2_100,0.32,0.28,0.45,0.38,0.38,0.32,0.38,0.38,0.57,0.7
edgeR_100,0.49,0.45,0.5,0.55,0.51,0.51,0.51,0.52,0.6,0.78
effect_size,0.74,0.77,0.77,0.72,0.83,0.8,0.75,0.7,0.84,1.0
memento,0.15,0.33,0.44,0.33,0.35,0.33,0.34,0.3,0.61,0.83
scXMatch,0.93,1.0,0.99,0.95,1.0,1.0,0.98,0.93,1.0,1.0
unbalanced_edistance,0.51,0.69,0.85,0.49,0.94,0.89,0.79,0.82,0.94,0.97
wilcoxon,0.46,0.42,0.46,0.54,0.56,0.55,0.49,0.5,0.8,0.79
